Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
974,VFC,Consumer Cyclical,Apparel Manufacturing,NYSE,109.48,82,71,49,12
975,DAL,Industrials,Airlines,NYSE,109.48,82,41,56,88
976,BCO,Industrials,Security & Protection Services,NYSE,109.47,82,82,87,82
977,NHC,Healthcare,Medical Care Facilities,NYSE MKT,109.42,82,90,95,85
978,DOCU,Technology,Software—Application,NASDAQ,109.4,82,61,50,65
979,CRNX,Healthcare,Biotechnology,NASDAQ,109.4,82,92,95,96
980,SHW,Basic Materials,Specialty Chemicals,NYSE,109.39,82,83,67,70
981,AAT,Real Estate,REIT—Diversified,NYSE,109.31,82,84,72,65
982,DECA,Financial Services,Shell Companies,NASDAQ,109.31,82,94,87,52
983,BLDR,Industrials,Building Products & Equipment,NYSE,109.29,82,77,47,92
984,YUMC,Consumer Cyclical,Restaurants,NYSE,109.29,82,23,10,19
985,IBTX,Financial Services,Banks—Regional,NASDAQ,109.28,82,89,83,30
986,S,Technology,Software—Infrastructure,NYSE,109.27,82,71,70,69
987,CBU,Financial Services,Banks—Regional,NYSE,109.25,82,86,84,37
988,HNRG,Energy,Thermal Coal,NASDAQ,109.25,82,17,77,5
989,OPINL,n/a,n/a,NASDAQ,109.23,82,74,19,25
990,ASA,Financial Services,Asset Management,NYSE,109.23,82,85,78,71
991,CRH,Basic Materials,Building Materials,NYSE,109.14,82,82,75,88
992,ZTO,Industrials,Integrated Freight & Logistics,NYSE,109.14,82,36,27,30
993,SHIP,Industrials,Marine Shipping,NASDAQ,109.1,82,89,80,93
994,PAR,Technology,Software—Application,NYSE,109.07,82,85,89,73
995,JCI,Industrials,Building Products & Equipment,NYSE,109.06,82,72,70,74
996,GCT,Technology,Software—Infrastructure,NASDAQ,109.02,82,20,97,99
997,FBK,Financial Services,Banks—Regional,NYSE,108.98,82,88,86,73
998,FMAO,Financial Services,Banks—Regional,NASDAQ,108.94,82,87,73,35
999,GAU,Basic Materials,Gold,NYSE MKT,108.9,82,95,98,98
1000,YMM,Technology,Software—Application,NYSE,108.89,82,31,60,80
1001,TYG,Financial Services,Asset Management,NYSE,108.88,82,78,73,65
1002,IMAX,Communication Services,Entertainment,NYSE,108.85,82,82,54,61
1003,FNWD,Financial Services,Banks—Regional,NASDAQ,108.83,82,80,56,43
1004,IBIO,Healthcare,Biotechnology,NYSE MKT,108.8,82,52,36,16
1005,COFS,Financial Services,Banks—Regional,NASDAQ,108.79,82,72,78,60
1006,WAFDP,Financial Services,Banks—Regional,NASDAQ,108.78,82,81,58,57
1007,WTTR,Energy,Oil & Gas Equipment & Services,NYSE,108.77,82,79,89,81
1008,MAS,Industrials,Building Products & Equipment,NYSE,108.76,82,78,68,84
1009,TMHC,Consumer Cyclical,Residential Construction,NYSE,108.75,82,86,84,83
1010,ETN,Industrials,Specialty Industrial Machinery,NYSE,108.74,82,65,82,93
1011,KEX,Industrials,Marine Shipping,NYSE,108.68,82,83,91,88
1012,VIVK,Energy,Oil & Gas E&P,NASDAQ,108.65,82,76,99,95
1013,NTAP,Technology,Computer Hardware,NASDAQ,108.65,82,73,91,85
1014,IROQ,Financial Services,Banks—Regional,NASDAQ,108.64,82,72,53,57
1015,CGO,Financial Services,Asset Management,NASDAQ,108.63,82,75,84,74
1016,VIST,Energy,Oil & Gas E&P,NYSE,108.57,82,89,91,94
1017,ICCH,Financial Services,Insurance—Specialty,NASDAQ,108.56,82,87,90,42
1018,AFCG,Real Estate,REIT—Specialty,NASDAQ,108.55,82,88,82,61
1019,GEN,Technology,Software—Infrastructure,NASDAQ,108.53,82,78,82,55
1020,CCCC,Healthcare,Biotechnology,NASDAQ,108.51,81,95,94,98
1021,CAC,Financial Services,Banks—Regional,NASDAQ,108.51,81,80,80,33
1022,AACG,Consumer Defensive,Education & Training Services,NASDAQ,108.49,81,5,6,13
1023,ETR,Utilities,Utilities—Regulated Electric,NYSE,108.48,81,81,55,63
1024,IFF,Basic Materials,Specialty Chemicals,NYSE,108.45,81,81,76,61
1025,CRTO,Communication Services,Advertising Agencies,NASDAQ,108.45,81,88,85,84
1026,SIF,Industrials,Aerospace & Defense,NYSE MKT,108.42,81,90,51,38
1027,SNV,Financial Services,Banks—Regional,NYSE,108.41,81,80,88,71
1028,ADPT,Healthcare,Biotechnology,NASDAQ,108.41,81,76,71,5
1029,XNET,Communication Services,Advertising Agencies,NASDAQ,108.4,81,33,47,38
1030,CBFV,Financial Services,Banks—Regional,NASDAQ,108.4,81,81,57,32
1031,HOUR,Consumer Cyclical,Internet Retail,NASDAQ,108.33,81,63,11,14
1032,STX,Technology,Computer Hardware,NASDAQ,108.32,81,73,89,83
1033,DRS,Industrials,Aerospace & Defense,NASDAQ,108.32,81,87,90,78
1034,APH,Technology,Electronic Components,NYSE,108.3,81,70,87,87
1035,KRO,Basic Materials,Specialty Chemicals,NYSE,108.29,81,47,73,86
1036,OCS,Healthcare,Biotechnology,NASDAQ,108.27,81,45,44,54
1037,FINV,Financial Services,Credit Services,NYSE,108.26,81,62,44,56
1038,INSP,Healthcare,Medical Devices,NYSE,108.25,81,67,8,65
1039,WILC,Consumer Defensive,Food Distribution,NASDAQ,108.23,81,64,32,20
1040,GDYN,Technology,Information Technology Services,NASDAQ,108.23,81,79,55,27
1041,TPZ,Financial Services,Asset Management,NYSE,108.22,81,81,69,68
1042,NN,Communication Services,Internet Content & Information,NASDAQ,108.21,81,90,95,99
1043,AOSL,Technology,Semiconductors,NASDAQ,108.19,81,87,96,14
1044,CMI,Industrials,Specialty Industrial Machinery,NYSE,108.19,81,70,67,82
1045,SKT,Real Estate,REIT—Retail,NYSE,108.19,81,75,61,80
1046,FFIN,Financial Services,Banks—Regional,NASDAQ,108.15,81,85,80,62
1047,MCBS,Financial Services,Banks—Regional,NASDAQ,108.15,81,88,87,79
1048,TNDM,Healthcare,Medical Devices,NASDAQ,108.12,81,90,95,89
1049,CLSK,Technology,Software—Application,NASDAQ,108.11,81,23,98,99
1050,HTBI,Financial Services,Banks—Regional,NASDAQ,108.09,81,89,91,61
1051,COLL,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,108.08,81,80,70,90
1052,MTG,Financial Services,Insurance—Specialty,NYSE,108.06,81,85,81,77
1053,RACE,Consumer Cyclical,Auto Manufacturers,NYSE,108.05,81,79,73,89
1054,OKE,Energy,Oil & Gas Midstream,NYSE,108.04,81,83,69,77
1055,BBY,Consumer Cyclical,Specialty Retail,NYSE,108.02,81,81,76,53
1056,RXO,Industrials,Trucking,NYSE,108.02,81,84,92,35
1057,INVA,Healthcare,Biotechnology,NASDAQ,108.01,81,88,76,66
1058,FKWL,Technology,Communication Equipment,NASDAQ,107.93,81,91,85,26
1059,RNR,Financial Services,Insurance—Reinsurance,NYSE,107.91,81,81,46,57
1060,CNOB,Financial Services,Banks—Regional,NASDAQ,107.9,81,86,71,44
1061,ARGX,Healthcare,Biotechnology,NASDAQ,107.88,81,86,68,26
1062,COLB,Financial Services,Banks—Regional,NASDAQ,107.85,81,78,67,22
1063,HSII,Industrials,Staffing & Employment Services,NASDAQ,107.84,81,81,75,71
1064,ZLAB,Healthcare,Biotechnology,NASDAQ,107.84,81,33,31,7
1065,RH,Consumer Cyclical,Specialty Retail,NYSE,107.83,81,79,44,28
1066,CDMO,Healthcare,Biotechnology,NASDAQ,107.8,81,94,84,15
1067,MC,Financial Services,Capital Markets,NYSE,107.79,81,85,84,71
1068,GPI,Consumer Cyclical,Auto & Truck Dealerships,NYSE,107.77,81,83,67,69
1069,EXLS,Technology,Information Technology Services,NASDAQ,107.74,81,79,63,34
1070,UA,Consumer Cyclical,Apparel Manufacturing,NYSE,107.73,81,52,28,27
1071,AMBI,Industrials,Waste Management,NYSE MKT,107.73,81,21,5,7
1072,LXFR,Industrials,Specialty Industrial Machinery,NYSE,107.69,81,53,78,36
1073,EML,Industrials,Tools & Accessories,NASDAQ,107.68,81,88,75,94
1074,ASTL,Basic Materials,Steel,NASDAQ,107.66,81,89,70,56
1075,LOMA,Basic Materials,Building Materials,NYSE,107.64,81,78,34,61
1076,USM,Communication Services,Telecom Services,NYSE,107.63,80,87,96,81
1077,HALO,Healthcare,Biotechnology,NASDAQ,107.63,80,93,90,64
1078,NNBR,Industrials,Conglomerates,NASDAQ,107.63,80,78,80,96
1079,LBRDK,Communication Services,Telecom Services,NASDAQ,107.62,80,35,18,8
1080,BIPC,Utilities,Utilities—Regulated Gas,NYSE,107.61,80,81,69,24
1081,EPRT,Real Estate,REIT—Diversified,NYSE,107.6,80,84,81,68
1082,FFIV,Technology,Software—Infrastructure,NASDAQ,107.6,80,81,49,72
1083,FNF,Financial Services,Insurance—Specialty,NYSE,107.58,80,84,76,82
1084,TPH,Consumer Cyclical,Residential Construction,NYSE,107.57,80,85,89,81
1085,HTCR,Technology,Software—Application,NASDAQ,107.56,80,24,24,88
1086,BBUC,Financial Services,Asset Management,NYSE,107.49,80,55,57,60
1087,ESEA,Industrials,Marine Shipping,NASDAQ,107.49,80,92,87,86
1088,AMRK,Financial Services,Capital Markets,NASDAQ,107.48,80,93,59,81
1089,STKL,Consumer Defensive,Packaged Foods,NASDAQ,107.46,80,85,30,75
1090,BBSI,Industrials,Staffing & Employment Services,NASDAQ,107.43,80,83,83,85
1091,LBRDA,Communication Services,Telecom Services,NASDAQ,107.39,80,34,17,8
1092,CROX,Consumer Cyclical,Footwear & Accessories,NASDAQ,107.38,80,62,79,77
1093,EFXT,Energy,Oil & Gas Equipment & Services,NYSE,107.34,80,49,33,58
1094,KYN,Financial Services,Asset Management,NYSE,107.32,80,73,72,72
1095,CVU,Industrials,Aerospace & Defense,NYSE MKT,107.32,80,78,16,23
1096,NRO,Financial Services,Asset Management,NYSE MKT,107.31,80,84,72,57
1097,ALL,Financial Services,Insurance—Property & Casualty,NYSE,107.25,80,89,78,90
1098,T,Communication Services,Telecom Services,NYSE,107.25,80,87,77,50
1099,HNI,Industrials,Business Equipment & Supplies,NYSE,107.19,80,85,85,87
1100,SCCO,Basic Materials,Copper,NYSE,107.17,80,54,73,90
1101,TDS,Communication Services,Telecom Services,NYSE,107.16,80,88,93,79
