Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
15,Software - Infrastructure,Technology,113.46,90,92,52,60,"PDYN,EXOD,UBXG,GRRR,ATGL,ARQQ,ALLT,CORZ,PLTR,VRAR,INTZ,AISP,NN,PRTH,CLBT,RBRK,BKKT,PAYO,AVPT,TWLO,WIX,SANG,JG,BLIN,ARBE,OSPN,BB,TOST,RELY,AFRM,GB,USIO,VHC,GDDY,PAY,CGNT,FOUR,KVYO,ACIW,FTNT,FFIV,CYBR,CCSI,ATEN,AIOT,NET,XNET,ALTR,AEVA,SQ,HCP,IOT,SWI,CRWD,CPAY,DBX,SCWX,ORCL,NTNX,ZETA,LSAK,GTLB,RDWR,CINT,CFLT,RXT,VRSN,GEN,CISO,BOX,ODD,CSGS,SNCR,FLYW,PRGS,ZUO,TUYA,NTCT,DLO,RAMP,IIIV,YEXT,PANW,IMXI,CHKP,LIDR,CALX,OS,AVDX,MSFT,OKTA,APPN,ARQQW,PDYNW,PGYWW,SNPS,EEFT,EVCM,PSFE,DOX,ZS,DAVA,SABR,TENB,KPLT,S,DOCN,REKR,BAND,EVTC,MOGO,QLYS,RPD,VRNS,VRNT,PATH,VERI,WEX,RPAY,FIVN,TLS,AKAM,INFA,TDC,HUBC,BASE,JNVR,KSPI,BLZE,MDB,XBP,TCX,ADBE,PAYS,DTSS,MSAI,GCT,PGY,MQ,AUID,TIXT,STNE,RVYL,PAGS,ALAR,OLB,APCX,TAOP,RZLV,BNAI,ATCH,FAAS,MLGO,CETX"
16,Software - Application,Technology,113.37,89,94,39,38,"NUKK,ALTS,APP,DATS,SOUN,KC,DAVE,XTKG,MSTR,AZ,BTDR,CRNC,MTC,MRT,PRCH,GRABW,RUM,LDTC,HTCR,SMWB,BMTX,BCOV,DSP,CCRD,EXFY,API,SRAD,KLTR,PEGA,MTTR,INTA,VERX,NVNI,ZENV,QH,QTWO,GRND,DUOL,OLO,DUOT,UPLD,VMEO,ML,INLX,RDVT,PAR,ILLR,BILL,PYCR,CVLT,INUV,KARO,MTLS,DOCU,VSSYW,ASAN,YMM,IDCC,OOMA,RSSS,WK,ASUR,SHOP,PSQH,TRAK,AMST,SAP,MAPS,AGYS,TTD,GRAB,GBTG,NOW,HUBS,BMR,AI,TEAM,OCFT,FICO,CWAN,LPSN,GWRE,AEYE,NATL,DJCO,PCTY,HKIT,FRSH,ZM,ELWS,PERF,SNOW,PAYC,BLND,ALKT,ENFN,APPF,LIF,DSGX,AZPN,SEMR,SSNC,PCOR,BRZE,SMAR,CRM,TYL,PAYX,ADP,RMNI,ADSK,NXTT,DAY,WFCF,AMPL,ADEA,DBD,IDN,SWVL,MANH,DDOG,MYSZ,CDNS,EGAN,CXAI,YOU,MNDO,EGHT,NRDY,IMMR,DHX,BL,LGTY,EZFL,ANSS,MNDY,ESTC,PTC,RNG,DT,ALRM,RDZN,SPSC,FSLY,RSKD,WDAY,CCCS,LYFT,ONTF,INTU,DCBO,XPER,LSPD,NCNO,U,DFIN,UPBD,FROG,IBTA,UBER,BLKB,CXM,PLUS,ROP,NTWK,SSTI,MITK,BSY,BIGC,MLNK,PD,MRIN,VS,DOMO,PRO,PHUN,AWRE,BMBL,PDFS,NUKKW,DV,ALIT,SPT,PUBM,NICE,YALA,ZI,NXPL,VTEX,EB,OTEX,TROO,VTSI,STEC,AIFF,JAMF,ISDR,SPNS,IFBD,LAW,HKD,BLBX,SMRT,SMSI,AIXI,ETWO,APPS,SVCO,OBLG,SYT,CREX,ORKT,SOPA,FTFT,SURG,CNTM,MFI,AUUD,QXO,ULY,VERB,BCAN,FRGT,RYDE,LGCL,RTC,LYT,PET,BNZI,SGN,TGL,CYN,JTAI"
17,Insurance - Property & Casualty,Financial Services,111.17,88,96,88,95,"ROOT,KINS,HIPO,LMND,PLMR,HRTG,UFCS,BOW,ORI,HCI,AIZ,THG,CINF,MKL,SKWD,PGR,ACIC,PRA,AFG,L,GBLI,KMPR,HMN,WRB,TRV,HIG,ALL,CNA,WTM,DGICB,RLI,UVE,DGICA,CB,HGTY,KNSL,STC,NODK,SAFT,MCY,SIGIP,CNFR,SIGI"
18,Semiconductors,Technology,110.55,88,90,32,35,"LAES,WKEY,CRDO,POET,SMTC,ALAB,SITM,AIP,MRVL,AVGO,VLN,SQNS,CEVA,HIMX,TSM,TSEM,NVDA,MTSI,SKYT,MXL,ARM,AOSL,SLAB,RMBS,LEDS,MOBX,ASX,NVEC,TXN,ADI,LSCC,QCOM,ALGM,MU,CRUS,SYNA,NVTS,SWKS,NXPI,MRAM,POWI,GSIT,LASR,PI,DIOD,GFS,QUIK,VSH,UMC,SIMO,MPWR,MX,ON,AMD,IMOS,STM,MCHP,PXLW,QRVO,INTC,ICG,GCTS,PRSO,WISA,WOLF"
19,Luxury Goods,Consumer Cyclical,110.44,87,88,35,8,"REAL,MYTE,TPR,ELA,LANV,MOV,BRLT,CTHR,SIG,CPRI,BGI"
20,Grocery Stores,Consumer Defensive,110.03,86,93,80,68,"DDL,NGVC,SFM,VLGEA,KR,WMK,ACI,MSS,IMKTA,GO,DNUT"
21,Oil & Gas Equipment & Services,Energy,109.96,86,68,22,48,"SEI,LB,FTK,EFXT,KGS,NCSM,RNGR,AROC,WTTR,NGS,BKR,PUMP,FTI,TTI,AESI,ACDC,TS,WHD,VTOL,MRC,SND,LBRT,OIS,OII,USAC,FET,NOA,NPKI,KLXE,CLB,RES,NESR,INVX,CHX,DTI,RCON,HAL,SLB,GEOS,NOV,HLX,VAL,DWSN,XPRO,NINE,TDW,WFRD"
22,Capital Markets,Financial Services,109.17,85,97,77,80,"MFH,HOOD,NCTY,HUT,SLNHP,WULF,BTCS,IREN,IBKR,FRHC,MRX,OPY,PWP,VIRT,JEF,SIEB,LPLA,RIOT,DGHI,SNEX,TIGR,PJT,MS,GS,SF,COHN,PIPR,MC,EVR,HLI,CIFR,BTBT,FUTU,MATH,TW,LAZ,FUFU,BGC,SRL,SCHW,NMR,SDIG,MEGL,MARA,BTM,HIVE,CLSK,HGBL,MKTX,ANY,ABTS,BITF,MDBH,AMRK,SLNH,TOP,GREE,MIGI,XP,WAI,NCPL,SWIN,FRGE,LGHL,SOS,ARBK,GRYP,GSIW"
23,Insurance - Reinsurance,Financial Services,108.81,84,84,79,98,"OXBR,HG,SPNT,RGA,GLRE,RNR,EG,MHLD"
24,Electronic Components,Technology,108.4,84,93,63,62,"NEON,CLS,MTEK,LPTH,DAKT,TTMI,FLEX,PLXS,OUST,MPTI,LINK,BHE,SANM,JBL,GLW,EMKR,VICR,LYTS,OSIS,APH,RELL,KN,LGL,BELFB,KOPN,CTS,FN,ALNT,OPTX,BELFA,CPSH,DAIO,REFR,TEL,ELTK,MEI,DSWL,LFUS,ROG,SELX,OLED,IMTE,OST,SGMA,WBX,HOLO"
