Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
52,Building Materials,Basic Materials,97.57,64,74,72,45,"USLM,LOMA,TGLS,SUM,KNF,CRH,SMID,VMC,CPAC,EXP,MLM,BCC,JHX,CX,RETO,CAPT"
53,Insurance Brokers,Financial Services,97.53,63,28,42,84,"SLQT,EHTH,GOCO,TWFG,WTW,CRVL,BRO,BWIN,AON,AJG,MMC,ERIE,HUIZ,TIRX,RELI,ZBAO,AIFU"
54,Oil & Gas E&P,Energy,97.48,63,30,13,20,"CRK,KGEI,TPL,USEG,PNRG,NEXT,AR,EQT,VIST,REPX,EXEEL,GPOR,EXEEZ,RRC,DEC,EXEEW,EXE,GPRK,EP,PHX,EPSN,HUSA,VTS,CTRA,GRNT,CNX,GTE,PVL,MTDR,NOG,EOG,DMLP,PR,MNR,MGY,KRP,OVV,BSM,HES,EPM,CRC,SJT,CLMT,PRT,SM,TXO,TBN,VTLE,GFR,SD,HPK,MXC,FANG,PED,TALO,VET,STR,COP,VOC,INDO,CIVI,OXY,NRT,CKX,WDS,MUR,APA,CRT,REI,CNQ,AMPY,DVN,MTR,MVO,CHRD,OBE,BRY,WTI,BTE,PROP,VRN,EGY,HPKEW,KOS,BRN,EONR,TPET,BATL"
55,Education & Training Services,Consumer Defensive,97.17,62,60,19,71,"SKIL,COE,LRN,UTI,DAO,APEI,ATGE,PRDO,LINC,LAUR,LOPE,LXEH,AMBO,GHC,EDTK,GV,AACG,FEDU,EEIQ,STRA,COUR,UDMY,TAL,BEDU,AFYA,IH,WAFU,FC,EDU,MYND,VSTA,QSG,STG,YQ,GSUN,CHGG,GOTU,GNS,TCTM"
56,Utilities - Regulated Gas,Utilities,96.98,61,44,40,37,"UGI,NI,ATO,SR,CPK,BIPC,OGS,SPH,NJR,BKH,NWN,CTRI,SWX,NFE,RGCO,OPAL"
57,Internet Content & Information,Communication Services,96.97,61,63,20,33,"RDDT,DOYU,ONFO,SPOT,BZFD,PODC,DJTWW,FVRR,LCFY,AREN,OB,UPWK,Z,GENI,ZG,CMCM,DJT,DASH,OPRA,TRVG,YY,META,GOOGL,GOOG,JFIN,WB,CCGWW,MOMO,KIND,YELP,NRDS,EVER,FENG,ATHM,TRUE,IZEA,SEAT,TBLA,SEATW,ZDGE,MNYWW,BODI,GRPN,MTCH,SNAP,TME,BZ,PERI,ZH,PINS,THRY,IAC,SSTK,BIDU,ANGI,WBTN,MNY,SOGP,UPXI,CCG,MAX,GETY,SCOR,TTGT,TC,SLE,GIFT,STBX,ASST,DGLY,LFLY"
58,REIT - Healthcare Facilities,Real Estate,96.49,60,52,89,92,"AHR,WELL,STRW,SBRA,OHI,VTR,CTRE,NHI,LTC,SILA,DOC,HR,MPW,UHT,CHCT,GMRE,DHC"
59,Industrial Distribution,Industrials,96.34,59,58,46,71,"DXPE,AIT,BECN,REZI,CNM,WCC,GWW,WSO,DNOW,FAST,DSGR,POOL,MSM,BXC,SITE,FERG,TRNS,EVI,TITN,GIC"
60,Infrastructure Operations,Industrials,96.21,59,59,31,59,"BEEP,FER,VRRM"
61,Asset Management,Financial Services,95.84,58,52,66,64,"RAND,SSSS,HNNA,PWM,RCG,TYG,KKR,PX,MGLD,APO,STEP,VCTR,NXG,GLAD,RJF,TPG,ARES,KYN,EMO,BX,GCMG,BAM,MAIN,NML,SRV,BN,BSTZ,OWL,CLM,JHG,AMP,CEE,STT,SEIC,NTRS,BTO,CRF,CG,UTG,DPG,EOS,FSCO,ECF,FSK,FGB,SPE,MCI,ASA,SABA,FDUS,BCV,MRCC,ETY,GAM,QQQX,BLK,BANX,ERH,EOI,ARCC,NCZ,MSD,SPXX,BRW,NIE,SAR,SLRC,BXSL,ETB,CCAP,STK,INV,CGBD,BGH,CRBG,BCSF,JCE,SCD,CUBA,ADX,CSQ,ETV,RVT,TRIN,HTGC,FOF,BIGZ,GOF,MPV,FCO,HYB,JPC,PDT,DHF,FT,HTD,NCV,RMT,AVK,ETJ,GCV,GECC,NAZ,GHY,NPV,FFA,HNW,AB,ASG,OCCI,TWN,CCD,EOD,NOM,STEW,IGA,GLQ,JLS,ISD,PNNT,CNS,WHG,SAMG,DIAX,NPFD,EDF,JRS,CII,BOE,AOD,FLC,GRF,VCV,FINS,JGH,FHI,GDV,BDJ,ETW,SCM,DMA,BGX,ACV,ARDC,FFC,JQC,BXMX,BST,EAD,GLO,HLNE,BGR,OXLC,BUI,IGD,PFO,EVT,CGO,GAB,FTF,NOAH,AMG,JRI,FCT,NRO,DFP,ETO,PFD,BGB,DNP,JHI,EMD,FPF,PEO,TSLX,PHT,PTY,CHI,PFN,EXG,BBDC,RIV,BSL,LRFC,PFX,SOR,NMS,PAXS,PGP,UTF,VLT,EFR,NFJ,PDI,USA,CHW,GLU,PFL,HIO,GNT,DBL,RLTY,BLW,CHN,PCN,DSL,MHI,AWF,EFT,CIF,PCF,PHK,JFR,PHD,EVV,ETG,IAF,HPI,VGI,TEAF,NMT,EVG,EARN,CHY,DMO,GUT,LIEN,JPI,HYT,NMZ,BMN,RA,AAMI,FRA,PGZ,SWZ,ECCC,TY,AC,RQI,MAV,CION,IIF,DSU,WEA,EICA,DHY,PIM,BGT,CCIF,ECCF,HEQ,GBDC,AWP,OXLCN,GDL,OCCIN,VVR,OCCIO,VKQ,OXLCO,HYI,LGI,OXLCP,NAN,OPP,ERC,MCR,MHF,NKX,CMU,IAE,VGM,WT,IDE,OBDC,RGT,EICC,PSF,INSI,EHI,BGY,CXE,VKI,TURN,BCX,PTA,MMT,CXH,GLV,DMF,DTF,BWG,FMY,TSI,NPCT,BTZ,JMM,NZF,FUND,NAD,NMCO,NXP,EVF,GGN,VMO,WIA,BIT,AEF,GGZ,MUI,RNP,TROW,IQI,NEA,NVG,MIN,PPT,IVZ,THQ,MUE,PAI,EGF,MVF,RCS,NAC,RFI,IIM,EIM,BBUC,WIW,LEO,KTF,GGT,EVM,MMU,NMI,HQH,BFK,TDF,MHD,JHS,SII,MFM,MIY,EDD,KIO,PFLT,CAF,NBB,MFIC,RMM,SBI,HQL,TPVG,TEI,APAM,IHD,EMF,BBN,NXJ,DSM,PMO,EOT,HIX,JOF,BHV,CIK,EIC,VFL,BLE,EVN,ENX,NUW,NRK,NHS,BKT,MYN,AFB,PMM,HPF,MVT,GRX,MPA,NUV,ICMB,MQT,NXN,DMB,MUJ,GBAB,BTT,GAIN,IGR,TCPC,ETX,EICB,MYD,NBH,ACP,MHN,ECC,NIM,MGF,VBF,MYI,BYM,MCN,NNY,BME,BNY,VPV,NXC,BHK,PYN,BTA,HPS,PNI,MUC,BFZ,FAX,IGI,PFG,MUA,JEQ,NMFC,PCK,FMN,MQY,VTN,DHIL,CEV,NQP,GEG,THW,PML,NCA,PNF,GDO,PMX,PCQ,EEA,OXSQ,PMF,OFS,GROW,SWKH,NTRSO,VRTS,OIA,BKN,PZC,VINP,CSWC,HFRO,PTMN,GF,MMD,OCSL,IFN,RMCO,BUR,EQS,GSBD,PAX,PCM,KF,WHF,BRDG,ALTI,BEN,HRZN,MXE,PSEC,MXF,CWD,AMTD,BCG,BENF,HPH"
62,REIT - Specialty,Real Estate,95.69,57,54,79,67,"PW,IRM,DLR,FPI,UNIT,EQIX,SELF,EPR,LANDM,LANDP,GLPI,LAMR,LANDO,PCH,WY,AMT,SBAC,RYN,CCI,LAND"
63,Scientific & Technical Instruments,Technology,95.16,56,34,20,15,"MIND,FARO,FCUV,COHR,GRMN,ELSE,BKSY,TRMB,ITRN,MLAB,GNSS,ESE,BMI,TDY,ITRI,KEYS,MKSI,FTV,VNT,WRAP,CGNX,MVIS,NOVT,SOTK,VPG,ASTC,ST,WATT,KNW,SVRE,SOBR"
64,"Furnishings, Fixtures & Appliances",Consumer Cyclical,94.99,56,62,81,94,"ATER,KEQU,VIOT,SN,FLXS,SNBR,WHR,LZB,TPX,PATK,NCL,BSET,LOVE,MHK,MBC,NTZ,ETD,CRWS,EFOI,COOK,PRPL,SCS,OESX,IRBT,AMWD,MLKN,VIRC,LCUT,FGI,HOFT,HBB,LEG,NVFY"
65,Building Products & Equipment,Industrials,94.69,55,67,88,96,"SWIM,LMB,TILE,PPIH,AAON,LPX,ILAG,LII,AWI,TT,JCI,AZEK,SPXC,AIRJ,CARR,OC,ARLO,MAS,CSL,APT,TREX,FBIN,GMS,BLDR,CSTE,INVE,ROCK,APOG,WMS,NX,ASPN,JBI,JELD,AEHL"
66,Medical Instruments & Supplies,Healthcare,94.63,54,31,29,33,"ANGO,PDEX,WRBY,MBOT,KRMD,MLSS,OMIC,PLSE,NYXH,NXGL,EMBC,POAI,ISRG,BLFS,ATRC,ICUI,LMAT,MMSI,RMD,ZTEK,RGEN,INFU,ATR,WST,AZTA,STVN,STXS,SMTI,BLCO,NVST,BDX,AVTR,FEMY,ALC,POCI,COO,HAE,HOLX,ALGN,UTMD,LUCY,DXR,NEPH,BAX,AKYA,RVP,TFX,OSUR,XRAY,HBIO,STAA,EKSO,STSS,AVGR,BNGO,MHUA,ZJYL,GCTK"
67,Other Precious Metals & Mining,Basic Materials,94.39,54,76,97,83,"PPTA,ASM,SLSR,SILV,EXK,TFPM,VOXR,HL,PLG,MUX,LODE,BVN,ITRG,MTA,SBSW,NEWP"
68,Integrated Freight & Logistics,Industrials,94.25,53,24,9,4,"JYD,CRGO,PBI,CHRW,RLGT,SGLY,HUBG,JBHT,FDX,FWRD,LSTR,BTOC,UPS,EXPD,ZTO,ATXG,GVH,GXO,CYRX,SFWL,PAL,LSH,PSIG"
69,Discount Stores,Consumer Defensive,94.22,52,64,57,77,"WMT,OLLI,TBBB,BJ,COST,PSMT,TGT,DLTR,DG"
70,Entertainment,Communication Services,94.01,52,73,44,44,"AENT,CNVS,LLYVA,LLYVK,MCS,FOX,CNK,TKO,NFLX,FOXA,LYV,IMAX,FWONA,FWONK,LVO,EDR,NWS,GAIA,WBD,DIS,MSGS,PARAA,NWSA,ROKU,SPHR,HUYA,MANU,BREA,RSVR,BATRK,BATRA,WMG,AMCX,PARA,AMC,NIPG,AGAE,RDI,CPOP,MPU,ANGH,RSVRW,SIRI,RDIB,IQ,PLAY,HOFV,TOON,KUKE,BLMZ,ADD"
71,REIT - Retail,Real Estate,93.92,51,57,74,69,"WHLRD,WHLRP,ROIC,CBL,MAC,AKR,SPG,SKT,ADC,REG,BRX,IVT,GTY,FCPT,UE,KIM,PINE,WSR,PECO,ALEX,KRG,FRT,REGCO,BFS,REGCP,O,NNN,ALX,NTST,SITC,WHLR"
72,Auto Parts,Consumer Cyclical,93.55,50,29,5,9,"HSAI,INVZ,FRSX,REE,ALSN,STRT,HYLN,WKSP,MOD,PHIN,DORM,MLR,SYPR,CAAS,PRTS,SLDP,MPAA,SES,DAN,GTX,ECX,CPS,SMP,ALV,BWA,XPEL,MGA,GT,CREV,LKQ,MBLY,AXL,GNTX,HLLY,GPC,QS,THRM,APTV,VC,LEA,MNRO,WPRT,ADNT,SUP,FOXF,KNDI,CVGI,SRI,LAZR,HYZN"
73,Shell Companies,Financial Services,93.44,49,41,30,38,"SKGRW,DECAU,DECA,IPXX,IPXXU,FTIIU,PLMJU,GODN,CSLMU,WAVSU,RFACU,AQU,SPKLU,WINVU,HUDAU,AQUNU,BLACU,GODNU,WAVS,CSLM,BLAC,AIMAU,HUDA,AIMBU,BNIX,MSSAU,IVCAU,MSSA,BAYA,BUJA,AFJKU,PLMJ,ISRL,WINV,OAKU,HSPOU,AFJK,IVCA,BRAC,SKGR,CLRC,GLSTU,FSHPU,AITR,SKGRU,KVAC,KVACU,EMCG,HSPO,RENEU,OAKUU,GATEU,EVGR,DIST,GLAC,AITRU,JVSA,RENE,ATMV,GBBK,ALCY,SPKL,ESHA,RFAC,EVGRU,AACT,GLACU,TBMC,FTII,BKHAU,HYAC,DYCQ,YOTA,GLST,ISRLU,QETA,NETDU,QETAU,PPYA,TETEU,ANSCU,NETD,ATMC,ALCYU,GDSTU,ANSC,ATMCU,BAYAU,BKHA,FORL,IROH,HLXB,BYNOU,EMCGU,PLAO,IBAC,DYCQU,VMCA,BRACU,EURKU,GDST,LEGT,JVSAU,IROHU,GPAT,BUJAU,HCVI,BYNO,DTSQU,TETE,SVII,PWUP,FORLU,SVIIU,GATE,ATMVU,DMYY,YOTAU,PPYAU,VMCAU,CLRCU,PWUPU,HCVIU,GPATU,GATEW,BOWNU,BOWN,BSLK,RENEW"
74,Telecom Services,Communication Services,93.33,49,49,75,37,"LUMN,VEON,TDS,TEO,RDCM,GSAT,USM,FYBR,RBBN,ATUS,T,IDT,KT,TIGO,TMUS,LBRDK,LBRDA,LBRDP,TKC,CXDO,CHTR,WOW,CCOI,IHS,CHT,SKM,VOD,VZ,IRDM,PHI,UCL,GOGO,TEF,CMCSA,KORE,CABO,TU,VIV,ATEX,AMX,TLK,LILA,LILAK,SIFY,TIMB,SHEN,RCI,TV,BCE,LBTYB,LBTYA,LBTYK,ATNI,FNGR"
75,Specialty Business Services,Industrials,93.01,48,47,68,81,"SPIR,KODK,TISI,UNF,BV,QUAD,TH,ULS,RBA,CBZ,AZZ,ARMK,PRSU,ABM,CTAS,RELX,CPRT,FA,SGRP,DLB,LZ,GPN,TRI,CASS,RTO,MMS,PMEC,CMPR,NTIP,NISN,DLHC,SST,LICN,SMX"
76,Financial Data & Stock Exchanges,Financial Services,92.87,47,56,74,73,"COIN,NDAQ,TRU,CME,MSCI,MCO,DNB,SPGI,VALU,MORN,ICE,FDS,CBOE,MKTW,BTOG"
77,Pharmaceutical Retailers,Healthcare,92.76,47,63,15,70,"HITI,PETS,SSY,WBA,CJJD,SCNX"
78,Restaurants,Consumer Cyclical,92.68,46,56,76,14,"EAT,CHSN,BROS,SG,CAVA,SHAK,CAKE,HDL,BH,RAVE,DRI,YUMC,TXRH,PBPB,ARKR,CBRL,SBUX,RICK,FWRG,LOCO,CMG,NATH,KRUS,BJRI,CNNE,FAT,MCD,PTLO,DPZ,YUM,BDL,GTIM,PETZ,FATBB,FATBP,BTBD,RRGB,GENK,QSR,WEN,WING,YOSH,STKS,DENN,DIN,JACK,ARCO,THCH,PZZA,BLMN,REBN,NDLS,PNST"
79,Electronics & Computer Distribution,Technology,92.62,45,50,68,41,"CLMB,SNX,SCSC,AVT,CNXN,ARW,TAIT,NSIT,IZM"
80,Internet Retail,Consumer Cyclical,92.43,45,43,54,53,"JWEL,SE,HOUR,TDUP,LQDT,CHWY,HEPS,GLBE,RVLV,RERE,CART,LOGC,AMZN,JD,EBAY,MOGU,MELI,BZUN,CPNG,OCG,BABA,IPW,QRTEP,VIPS,ETSY,DADA,W,NHTC,JMIA,PDD,DIBS,WBUY,ZKH,LGCB,YJ,QRTEB,DTC,NEGG,QRTEA,BYON,MI,LITB,WNW"
81,Packaged Foods,Consumer Defensive,92.05,44,46,47,40,"LFVN,LSF,CDXC,RKDA,JVA,BOF,PAVS,FRPT,K,BRBR,LWAY,SENEA,SENEB,MAMA,PPC,FTLF,INGR,BRFS,IMG,BRID,POST,MKC,CENT,KLG,NOMD,BRLS,HRL,LANC,DAR,CENTA,SMPL,NATR,JBSS,JJSF,GIS,CAG,NCRA,THS,SJM,CPB,FLO,UTZ,KHC,USNA,CLNN,BRCC,NAII,LW,HLF,BGS,WEST,OTLY,BTTR,FARM,FAMI,BYND,ABVE,HAIN,SNAX,ATPC,STKH,DDC,SOWG"
82,REIT - Residential,Real Estate,91.41,43,59,71,64,"AIV,IRT,UMH,AVB,MAA,NXRT,ESS,EQR,CPT,UDR,BRT,VRE,ELS,SUI,AMH,CSR,ELME,INVH,CLPR,BHM"
83,Aluminum,Basic Materials,91.37,43,61,70,63,"CENX,AA,KALU,CSTM"
84,Apparel Retail,Consumer Cyclical,90.72,42,39,59,94,"SFIX,VSCO,GCO,BOOT,URBN,BURL,BKE,CURV,CTRN,AKA,TJX,LULU,GAP,ROST,JILL,ANF,LE,SCVL,DXLG,FL,CRI,ZUMZ,TLYS,RENT,AEO,DLTH,CATO,CAL,LVLU,GES,BIRD"
85,Trucking,Industrials,90.7,41,51,28,61,"XPO,SNDR,ULH,CVLG,KNX,BEST,SAIA,RXO,WERN,HTLD,TFII,PAMT,ODFL,MRTN,ARCB,YGMZ"
86,REIT - Mortgage,Real Estate,90.6,40,37,50,58,"ACR,LFT,TRTX,SUNS,NREF,NYMTL,LOAN,NYMTM,DX,RITM,EFC,AGNCP,AGNCM,AGNCO,AGNCN,REFI,NLY,AGNCL,ORC,NYMTZ,ABR,LADR,AGNC,CIM,NYMTN,ARR,MITT,BXMT,AFCG,FBRT,IVR,STWD,SEVN,KREF,BRSP,TWO,AOMR,RWT,NYMT,PMT,ARI,MFA,CHMI,RC,ACRE,GPMT,RPT,CMTG,SACH"
87,Staffing & Employment Services,Industrials,90.52,40,42,23,16,"NIXX,MHH,STAF,HSII,BBSI,KFY,RHI,HQI,KFRC,JOB,TNET,MAN,TBI,HSON,NSP,ZIP,KELYA,KELYB,BGSF,IPDN"
88,Textile Manufacturing,Consumer Cyclical,90.46,39,13,37,26,"CULP,AIN,UFI"
89,Semiconductor Equipment & Materials,Technology,90.45,38,22,6,47,"ATOM,AMBA,NVMI,CAMT,TER,ONTO,KLAC,ASYS,AMAT,KLIC,ICHR,LRCX,ASML,UCTT,DQ,INTT,FORM,TRT,PLAB,ENTG,INDI,IPGP,COHU,ACMR,AEHR,VECO,AMKR,SMTK,AXTI,ACLS"
90,REIT - Diversified,Real Estate,90.3,38,69,72,76,"MKZR,GOOD,CTO,EPRT,OLP,MDRR,GOODN,AAT,SQFTP,VICI,GNL,BNL,WPC,ESRT,NXDT,AHH,SQFT,SAFE,GIPR"
91,Specialty Retail,Consumer Cyclical,90.21,37,83,90,52,"FTEL,RECT,GME,BARK,RH,WSM,BBW,MNSO,WOOF,DKS,EVGOW,CASY,ORLY,AZO,MUSA,WINA,TSCO,ARKO,EVGO,ULTA,TLF,BBWI,BBY,SBH,ASO,ZOOZ,FLWS,AAP,SVV,OLPX,HZO,FIVE,BWMX,EYE,BNED,BQ,SPWH,CHPT,TKLF,GRWG,LESL,ODP,ONEW,BGFV,NVVE,NAAS"
92,Airports & Air Services,Industrials,89.81,36,40,7,20,"JOBY,BLDE,PAC,OMAB,CAAP,ASLE,ASR,UP,SOAR"
93,Tools & Accessories,Industrials,89.64,36,43,65,42,"SNA,RBC,HLMN,KMT,EML,CVR,TTC,LECO,TKR,SWK"
94,Gold,Basic Materials,89.56,35,38,95,81,"CNL,USAU,IAG,ORLA,NGD,KGC,CDE,SSRM,AEM,AGI,AU,PAAS,HMY,OR,EQX,IDR,RGLD,FNV,AUST,SAND,WPM,DRD,VGZ,DC,GFI,FSM,ARMN,NEM,GORO,CGAU,EGO,NG,GOLD,GLDG,PZG,HYMC,THM,GAU,GROY,SA,BTG,TRX,CMCL,ODV,NFGC,HYMCL,CTGO,IAUX"
95,REIT - Hotel & Motel,Real Estate,89.46,34,34,18,18,"IHT,SHO,INN,XHR,SOHOB,DRH,SOHON,RLJ,APLE,SOHOO,PEB,AHT,CLDT,RHP,PK,HST,BHR,SOHO,SVC"
96,Agricultural Inputs,Basic Materials,89.39,34,6,8,11,"NITO,ICL,CF,IPI,UAN,CTVA,NTR,SMG,MOS,FMC,BIOX,AVD,SEED,LVRO,BHIL"
97,Electronic Gaming & Multimedia,Communication Services,89.14,33,18,18,3,"SNAL,RBLX,GDC,GIGM,TTWO,BILI,NTES,SKLZ,SOHU,EA,PLTK,MYPS,GRVY,DDI,GMGI,MYPSW,GXAI,GAME,MSGM,GDEV,TRUG,BHAT"
98,REIT - Office,Real Estate,89.08,32,44,84,75,"VNO,EQC,NLOP,CUZ,SLG,DEI,CDP,HIW,PDM,BDN,KRC,ONL,BXP,FSP,CIO,JBGS,PSTL,PGRE,ESBA,DEA,OGCP,FISK,PKST,ARE,CMCT,HPP,OPI"
99,Diagnostics & Research,Healthcare,88.97,31,36,33,51,"PSNL,ACRS,NOTV,NTRA,GH,VCYT,CDNA,STIM,XGN,BNR,ATLN,PRE,WAT,GRAL,TWST,RDNT,LH,OPK,DGX,QGEN,CSTL,A,RVTY,ILMN,STRRP,TMO,MTD,PRPO,NEO,DHR,MEDP,SHC,FONR,VNRX,IDXX,IQV,FLGT,EXAS,MDXH,CRL,NEOG,XWEL,BDSX,CHEK,ICLR,OCX,ENZ,MYGN,ISPC,STRR,ME,AWH,APDN,BIAF,NDRA,PRPH,TTOO"
100,Lodging,Consumer Cyclical,88.96,31,33,36,4,"WH,SHCO,ATAT,IHG,HLT,CHH,MAR,H,CVEO,SOND,HTHT,GHG,LUXHP,INTG,LUXH"
101,Resorts & Casinos,Consumer Cyclical,88.95,30,45,31,12,"PLYA,BALY,BYD,MCRI,PENN,VAC,GDEN,CNTY,FLL,MTN,HGV,LVS,WYNN,RRR,CZR,MGM,MLCO,MSC"
102,Silver,Basic Materials,88.74,29,47,98,69,"MAG,AG,SVM"
103,Oil & Gas Drilling,Energy,88.66,29,6,3,56,"SOC,PDS,HP,PTEN,NBR,NE,SDRL,RIG,BORR"
104,Drug Manufacturers - Specialty & Generic,Healthcare,88.55,28,22,40,74,"ETON,EBS,TKNO,PRFX,BGM,CPIX,HROW,ITCI,TEVA,AKBA,KMDA,PAHC,CYTHW,SUPN,AMRX,LFCR,PBH,ALKS,LNTH,NBIX,DVAX,ALVO,INDV,PCRX,ORGO,RMTI,ESPR,HLN,IMCC,RDY,BFRI,VTRS,RGC,YCBD,ANIP,INCR,ZTS,COLL,TAK,BHC,EVO,SIGA,OGI,CRON,ELAN,PRGO,KNSA,AQST,DRRX,IXHL,EOLS,ASRT,AMPH,CRDL,CYTH,HCM,SNOA,ACB,TLPH,DERM,EVOK,PROC,CPHI,AYTU,SCYX,TLRY,ANIK,PTPI,IRWD,FLGC,TXMD,CTOR,RDHL,AVDL,SBFM,AKAN,SXTC,SHPH,CGC,OPTN,QNTM,UPC"
105,Conglomerates,Industrials,87.97,27,40,48,43,"CRESY,MDU,MMM,VMI,MATW,FIP,GFF,DLX,HON,PLAG,AIRT,AIRTP,SPLP,BBU,BOC,CODI,TRC,RCMT,TUSK,SEB,FBYD,HHS,NNBR,BOOM,EFSH"
106,Packaging & Containers,Consumer Cyclical,87.71,27,29,43,28,"PTVE,IP,MGIH,PKG,BERY,SW,KRT,SLGN,PACK,SEE,GPK,CCK,AMCR,GEF,REYN,AVY,TRS,SON,BALL,AMBP,OI,MYE,OCTO,DSS,YHGJ"
107,Medical Distribution,Healthcare,87.53,26,19,1,39,"AHG,PDCO,CAH,MCK,COR,HSIC,COSM,OMI,ZYXI,EDAP,YI"
108,Broadcasting,Communication Services,87.01,25,21,38,31,"FUBO,CURI,TGNA,IHRT,SBGI,NXST,SJ,UONE,MDIA,SGA,SSP,BBGI,UONEK,GTN,CMLS"
109,Farm Products,Consumer Defensive,86.37,24,9,15,30,"SANW,CALM,VITL,ALCO,FDP,SDOT,DTCK,CHSCL,LMNR,CHSCN,CHSCO,CHSCM,TSN,CHSCP,AGRO,DOLE,AFRI,LOCL,ADM,BG,LND,VFF,AQB,EDBL,AGRI,SISI"
110,Medical Care Facilities,Healthcare,86.29,24,18,58,78,"NUTX,AVAH,MD,DCGO,LFST,DVA,CCRN,ADUS,FMS,SEM,SNDA,CCEL,THC,PNTG,EHC,HCSG,ENSG,AMS,BTMD,USPH,UHS,AMED,JYNT,OPCH,CON,CHE,AUNA,RHE,HCA,NHC,EHAB,TOI,AIRS,BKDT,ARDT,BACK,KDLY,BKD,SYRA,CYH,ASTH,SGRY,INNV,AGL,ACHC,CCM,AMN,CMPS,PACS,PIII,MODV"
111,Department Stores,Consumer Cyclical,86.15,23,26,54,36,"DDS,JWN,M,KSS"
112,Real Estate - Diversified,Real Estate,86.13,22,48,92,73,"HHH,CHCI,JOE,STRS"
113,Household & Personal Products,Consumer Defensive,85.94,22,27,17,10,"HIMS,HNST,NWL,IPAR,CLX,UG,KVUE,CHD,UL,SPB,PG,ELF,CL,KMB,DSY,GROV,EPC,YSG,ACU,HELE,SKIN,WALDW,NUS,COTY,EL,EWCZ,WALD,CTCX,TANH,RAY"
114,Advertising Agencies,Communication Services,85.73,21,23,24,19,"ICLK,TZOO,CTV,NEXN,MGNI,WIMI,QNST,MCHX,NCMI,LDWY,CRTO,BAOS,ZD,EVC,STGW,WPP,CCO,FLNT,EEX,IPG,IAS,CHR,OMC,TSQ,ABLV,ANTE,ADV,CNET,SWAG,TZUP,LKCO,DLPN,CDLX,KRKR,VSME,DRCT,HAO,MGOL,QMMM"
115,Tobacco,Consumer Defensive,85.53,20,17,11,9,"TPB,RLX,PM,MO,BTI,UVV,KAVL,ISPR,GNLN,XXII"
116,Specialty Chemicals,Basic Materials,85.21,20,20,53,23,"FSI,GEVO,PRM,ODC,ALTM,HWKN,NGVT,APD,RPM,TSE,ESI,SHW,FF,ECL,AXTA,SXT,BCPC,MTX,ALTO,DD,ECVT,NTIC,LIN,IOSP,SQM,CBT,EMN,AVNT,IFF,ALB,WDFC,NEU,PPG,KRO,CMT,CC,LYB,WLK,BGLC,ASH,FUL,SCL,SNES,KOP,KWR,BON,OEC,SSL,HDSN,MATV,FEAM,LWLG,LOOP,CNEY,CRKN"
117,Mortgage Finance,Financial Services,85.12,19,13,56,53,"SNFCA,COOP,ONIT,PFSI,IOR,VEL,ECPG,WD,UWMC,GHI,GHLD,RKT,LDI,CNF,BETR,PAPL"
118,Chemicals,Basic Materials,84.98,18,24,77,43,"ASPI,RYAM,ORGN,VHI,ASIX,MEOH,WLKP,LXU,REX,DOW,HUN,TROX,OLN,GPRE,GURE,BAK,CE"
119,Personal Services,Consumer Cyclical,84.7,18,35,10,42,"RGS,EM,FTDR,CSV,YYGH,SCI,HRB,ROL,BFAM,WW,MED,EJH,IVP,MRM,TRNR"
120,Utilities - Diversified,Utilities,84.49,17,14,45,46,"SRE,ALE,AVA,UTL,BIP,OTTR,CIG,ELPC,ELP,MNTK,AES"
121,Residential Construction,Consumer Cyclical,84.16,16,27,93,97,"CVCO,SKY,TMHC,TOL,LEGH,NVR,MHO,PHM,KBH,TPH,GRBK,BZH,MTH,IBP,DHI,LGIH,LEN,HOV,DFH,UHG"
122,Oil & Gas Refining & Marketing,Energy,83.07,15,4,6,13,"AE,DKL,CAPL,SGU,WKC,SUN,CLNE,VLO,DK,MPC,PSX,AMTX,CVI,PBF,DINO,PARR,IEP,UGP,CSAN"
123,Real Estate Services,Real Estate,83.04,15,31,49,35,"COMP,IRS,AIRE,CBRE,JLL,CWK,DOUG,NMRK,NYC,NEN,RFL,REAX,CIGI,FSV,BPYPN,BEKE,BPYPO,RMAX,FRPH,GBR,MMI,MAYS,BPYPP,HASI,GYRO,RDFN,DUO,EXPI,CSGP,MLP,KW,TCI,ARL,RMR,ALBT,WETH,STHO,DBRG,HOUS,OPEN,UK,SRG,OPAD,FTHM,OMH,LRHC,ASPS,UOKA,XHG"
124,Business Equipment & Supplies,Industrials,82.67,14,82,43,54,"HNI,EBF,ACCO,ACTG,EHGO"
125,Drug Manufacturers - General,Healthcare,82.34,13,7,29,85,"MIRA,GILD,BMY,ABBV,SNY,PFE,LLY,JNJ,GRFS,OGN,AZN,NVS,AMGN,MRK,GSK,AMRN,NVO,BIIB,SCLX"
126,Uranium,Energy,82.06,13,75,90,20,"LEU,CCJ,UEC,DNN,NXE,UROY,UUUU,EU,URG"
127,Home Improvement Retail,Consumer Cyclical,81.37,12,5,22,28,"HD,LOW,TTSH,ARHS,FND,HVT,KIRK,LIVE"
